20.01.25
Start: Time: 08:07 OCV: 4.201V Load-V: 3.832V
End: Time: 20:05 OCV: 3.598V Load-V: 3.190V

0: raw: 829, voltage: 3.965, soc: 95, lbo: 1
149: raw: 807, voltage: 3.860, soc: 86, lbo: 0

149: raw: 777, voltage: 3.717, soc: 73, lbo: 0

150: raw: 797, voltage: 3.812, soc: 82, lbo: 0

150: raw: 776, voltage: 3.712, soc: 73, lbo: 0

151: raw: 797, voltage: 3.812, soc: 82, lbo: 0

151: raw: 776, voltage: 3.712, soc: 73, lbo: 0

152: raw: 796, voltage: 3.808, soc: 81, lbo: 0

152: raw: 776, voltage: 3.712, soc: 73, lbo: 0

153: raw: 796, voltage: 3.808, soc: 81, lbo: 0

153: raw: 777, voltage: 3.717, soc: 73, lbo: 0

154: raw: 796, voltage: 3.808, soc: 81, lbo: 0

154: raw: 775, voltage: 3.707, soc: 72, lbo: 0

155: raw: 795, voltage: 3.803, soc: 81, lbo: 0

155: raw: 775, voltage: 3.707, soc: 72, lbo: 0

156: raw: 795, voltage: 3.803, soc: 81, lbo: 0

156: raw: 774, voltage: 3.702, soc: 72, lbo: 0

157: raw: 795, voltage: 3.803, soc: 81, lbo: 0

157: raw: 774, voltage: 3.702, soc: 72, lbo: 0

158: raw: 795, voltage: 3.803, soc: 81, lbo: 0

158: raw: 774, voltage: 3.702, soc: 72, lbo: 0

159: raw: 794, voltage: 3.798, soc: 80, lbo: 0

159: raw: 774, voltage: 3.702, soc: 72, lbo: 0

160: raw: 794, voltage: 3.798, soc: 80, lbo: 0

160: raw: 773, voltage: 3.698, soc: 72, lbo: 0

161: raw: 794, voltage: 3.798, soc: 80, lbo: 0

161: raw: 773, voltage: 3.698, soc: 72, lbo: 0

162: raw: 794, voltage: 3.798, soc: 80, lbo: 0

162: raw: 773, voltage: 3.698, soc: 72, lbo: 0

163: raw: 794, voltage: 3.798, soc: 80, lbo: 0

163: raw: 773, voltage: 3.698, soc: 72, lbo: 0

164: raw: 793, voltage: 3.793, soc: 80, lbo: 0

164: raw: 773, voltage: 3.698, soc: 72, lbo: 0

165: raw: 793, voltage: 3.793, soc: 80, lbo: 0

165: raw: 772, voltage: 3.693, soc: 71, lbo: 0

166: raw: 793, voltage: 3.793, soc: 80, lbo: 0

166: raw: 772, voltage: 3.693, soc: 71, lbo: 0

